ACTOR_ID\ACTOR_ID;6;8;9;4;10;11;12;13;14;15;16;17;1;7;2;3;22;23;24;25;18;21;20;19;5;26;27;28;29;30;31;32;33;34;35;38;36;45;44;46;47;48;50;49;51;52;53;54;56;57;58;55;59;61;60;37;39;40;62;63;64;65;66;67;68;69;70;42;43;41;72;79;80;78;81;83;82;84;85;143;86;87;88;73;91;90;93;94;71;92;95;96;97;98;99;100;76;77;74;89;75;107;109;106;110;108;111;103;112;114;113;116;117;115;104;118;101;122;105;102;119;125;126;124;121;123;120;127;128;129;130;131;132;133;134;135;139;136;141;144;137;147;146;148;145;149;150;153;151;152;140;138;154;155;142;157;156;158;164;160;161;162;159;163;166;167;169;170;173;175;174;176;177;178;165;179;180;181;182;183;184;185;186;188;187;168;189;171;172;190;191;192;195;194;197;196;199;198;193;200
6;20;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;1;3;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;0;2;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;2;1;0;0;0;1;0;1;0;1;1;0;3;0;0;0;0;2;0;0;0;1;0;2;0;0;2;0;0;0;2;0;1;0;0;0;1;0;1;2;1;1;1;2;3;1;0;2;0;1;2;1;0;0;1;1;0;0;0;0;0;2;2;0;1;0;0;0;0;1;2;1;0;2;0;2;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;1;0;2;0;1;0;1;0;0;0;0;1;1;1;3;2;1;0;0;1;0;0;0;2;0;0;1;1;0
8;0;20;1;0;0;2;0;0;1;0;0;0;0;1;3;0;0;0;0;1;1;2;0;2;0;0;1;2;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;2;0;0;1;0;0;0;1;1;0;3;1;0;0;0;0;0;2;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;2;1;0;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;3;1;1;1;0;0;1;1;1;0;1;2;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;2;0;2;1;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;2;1;0;0;1;1;1;0;0;0;1;0;1;0;2;0;0;1;0;0;1;1;0;3;0;0;0;0;0
9;0;1;25;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;1;2;0;0;0;2;3;1;2;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;1;1;0;2;1;0;0;0;0;0;2;0;1;1;1;1;1;0;2;0;0;2;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;1;0;0;0;2;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;2;1;0;2;0;0;1;0;1;0;0;2;1;2;0;0;0;2;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;2;0;1;1;1;0;0;2;1;2;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;4;1;0;0;0;0
4;0;0;0;22;0;0;1;2;0;2;1;0;4;3;0;1;2;1;2;0;0;3;1;1;0;1;1;0;1;1;0;0;2;0;0;0;1;2;1;1;2;0;1;0;1;1;1;1;1;1;2;0;0;1;0;0;0;1;1;0;3;2;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;2;1;2;0;1;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;2;1;0;0;0;1;1;2;1;0;1;0;0;1;1;0;1;0;1;0;2;0;1;1;2;1;1;2;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;2;0;2;1;0;0;2;1;1;0;1;1;0;0;0;0;2;2;0;0;1;0;1;0;0;0;2;1;0;0;0;2;1;0;0;0;1;1;0;3;0;1
10;0;0;2;0;22;1;1;2;0;1;0;1;2;0;0;2;2;1;0;1;0;2;2;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;2;0;0;3;0;1;0;1;1;1;1;0;3;2;1;0;0;2;1;0;1;1;2;1;0;0;0;1;0;0;1;0;0;1;2;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;2;0;0;1;0;1;1;1;0;0;0;1;2;0;1;0;0;2;0;1;0;0;0;0;0;1;0;2;1;2;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;2;0;0;1;3;0;0;0;1;0;2;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0
11;0;2;0;0;1;25;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;2;1;0;0;0;1;2;1;0;0;2;0;0;0;0;2;0;2;1;0;0;0;3;1;0;0;3;0;0;0;2;0;1;1;2;1;1;1;0;1;1;2;0;1;0;1;0;0;0;4;1;3;0;1;1;1;1;0;1;2;0;0;0;0;1;1;0;1;1;0;0;1;0;1;2;3;2;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;2;2;0;1;2;2;2;0;0;0;2;0;0;1;3;1;0;0;0;1;1;1;2;1;0;1;0;2;0;0;1;2;2;0;0;1;1;1;0;0;0;0;2;0;0;2;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;2;2;0;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;2;1;0
12;0;0;0;1;1;0;31;2;0;2;2;2;1;0;1;1;0;0;0;3;0;0;1;2;0;2;4;1;1;2;1;0;0;0;0;0;1;1;1;1;0;0;3;2;1;2;0;0;3;3;2;0;0;0;1;0;0;3;1;2;1;0;1;1;1;0;1;0;1;0;1;0;0;2;0;2;3;1;3;1;2;0;0;0;1;2;0;2;0;2;1;1;2;1;2;2;0;1;0;0;1;0;1;1;1;1;0;0;3;1;1;1;1;0;1;0;0;0;0;3;0;0;1;0;0;1;2;0;0;0;4;0;0;1;1;0;3;2;0;2;0;0;4;0;3;1;3;0;1;0;0;0;1;1;2;2;2;3;0;1;1;0;2;0;0;3;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;2;1;1;1;2;0;0;0;0;2;2;0;0;1;1;1;1;0;1
13;1;0;0;2;2;1;2;35;1;1;2;2;1;0;0;3;1;2;2;0;1;1;0;2;3;0;0;2;1;1;0;1;1;0;1;0;3;0;1;2;1;0;1;1;0;2;0;2;1;1;1;0;0;1;0;2;2;0;2;0;3;1;0;1;1;0;0;0;1;1;2;0;0;0;1;2;1;2;2;0;0;1;1;2;0;2;1;1;2;1;1;1;0;1;2;3;0;0;1;3;0;2;0;0;1;1;1;0;1;2;0;0;1;1;1;0;0;3;1;1;2;0;0;0;2;0;2;0;0;1;0;1;2;2;2;0;0;0;0;0;2;1;3;1;1;0;0;2;1;1;1;0;1;3;0;0;0;0;1;1;1;0;1;3;0;1;3;0;3;3;0;1;1;0;2;2;2;4;1;0;3;2;1;0;3;0;0;0;2;1;0;0;1;0;2;3;0;4;0;1
14;0;1;0;0;0;0;0;1;30;0;0;2;1;1;0;0;4;3;0;1;2;1;0;0;0;3;1;1;0;1;0;0;1;0;1;1;0;2;0;0;0;0;1;0;1;0;0;3;1;1;2;1;2;1;1;1;1;0;1;0;0;1;0;0;1;2;1;1;0;0;0;0;2;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;2;1;1;2;2;1;2;0;1;1;1;2;0;1;0;3;0;0;0;0;0;1;0;0;1;2;1;1;0;3;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;2;0;0;3;2;1;2;2;0;2;1;0;0;1;1;0;0;2;2;0;1;1;1;2;2;2;0;1;1;1;2;1;2;0;0;1;0;1;1;0;1;2;0;0;0;2;0;1;0;2;3;3;0;1;0;1
